Year_Month,Fuel_Category,County,Count
2020/07,Electric,ALLEGANY,29
2020/07,Electric,ANNE ARUNDEL,1587
2020/07,Electric,BALTIMORE,1508
2020/07,Electric,BALTIMORE CITY,770
2020/07,Electric,CALVERT,140
2020/07,Electric,CAROLINE,8
2020/07,Electric,CARROLL,292
2020/07,Electric,CECIL,82
2020/07,Electric,CHARLES,197
2020/07,Electric,DORCHESTER,24
2020/07,Electric,FREDERICK,710
2020/07,Electric,GARRETT,15
2020/07,Electric,HARFORD,321
2020/07,Electric,HOWARD,1934
2020/07,Electric,KENT,15
2020/07,Electric,MONTGOMERY,5791
2020/07,Electric,PRINCE GEORGES,1208
2020/07,Electric,QUEEN ANNES,84
2020/07,Electric,SAINT MARYS,144
2020/07,Electric,SOMERSET,2
2020/07,Electric,TALBOT,68
2020/07,Electric,UNKNOWN,28
2020/07,Electric,WASHINGTON,136
2020/07,Electric,WICOMICO,50
2020/07,Electric,WORCESTER,46
2020/07,Electric,CA,2
2020/07,Electric,TX,1
2020/07,Plug-in Hybrid,ALLEGANY,32
2020/07,Plug-in Hybrid,ANNE ARUNDEL,1124
2020/07,Plug-in Hybrid,BALTIMORE,1230
2020/07,Plug-in Hybrid,BALTIMORE CITY,585
2020/07,Plug-in Hybrid,CALVERT,160
2020/07,Plug-in Hybrid,CAROLINE,19
2020/07,Plug-in Hybrid,CARROLL,231
2020/07,Plug-in Hybrid,CECIL,74
2020/07,Plug-in Hybrid,CHARLES,172
2020/07,Plug-in Hybrid,DORCHESTER,26
2020/07,Plug-in Hybrid,FREDERICK,700
2020/07,Plug-in Hybrid,GARRETT,5
2020/07,Plug-in Hybrid,HARFORD,281
2020/07,Plug-in Hybrid,HOWARD,1150
2020/07,Plug-in Hybrid,KENT,31
2020/07,Plug-in Hybrid,MONTGOMERY,3583
2020/07,Plug-in Hybrid,PRINCE GEORGES,938
2020/07,Plug-in Hybrid,QUEEN ANNES,82
2020/07,Plug-in Hybrid,SAINT MARYS,174
2020/07,Plug-in Hybrid,SOMERSET,7
2020/07,Plug-in Hybrid,TALBOT,85
2020/07,Plug-in Hybrid,UNKNOWN,18
2020/07,Plug-in Hybrid,WASHINGTON,163
2020/07,Plug-in Hybrid,WICOMICO,82
2020/07,Plug-in Hybrid,WORCESTER,62
2020/07,Plug-in Hybrid,CO,2
2020/07,Plug-in Hybrid,DE,1
2020/07,Plug-in Hybrid,GA,1
2020/07,Plug-in Hybrid,IL,1
2020/07,Plug-in Hybrid,KY,1
2020/07,Plug-in Hybrid,NC,1
2020/07,Plug-in Hybrid,OH,3
2020/07,Plug-in Hybrid,TN,1
2020/07,Plug-in Hybrid,WA,1
2020/08,Electric,ALLEGANY,32
2020/08,Electric,ANNE ARUNDEL,1625
2020/08,Electric,BALTIMORE,1549
2020/08,Electric,BALTIMORE CITY,779
2020/08,Electric,CALVERT,142
2020/08,Electric,CAROLINE,7
2020/08,Electric,CARROLL,300
2020/08,Electric,CECIL,85
2020/08,Electric,CHARLES,205
2020/08,Electric,DORCHESTER,24
2020/08,Electric,FREDERICK,734
2020/08,Electric,GARRETT,15
2020/08,Electric,HARFORD,329
2020/08,Electric,HOWARD,1979
2020/08,Electric,KENT,15
2020/08,Electric,MONTGOMERY,5944
2020/08,Electric,PRINCE GEORGES,1235
2020/08,Electric,QUEEN ANNES,86
2020/08,Electric,SAINT MARYS,152
2020/08,Electric,SOMERSET,2
2020/08,Electric,TALBOT,71
2020/08,Electric,UNKNOWN,28
2020/08,Electric,WASHINGTON,138
2020/08,Electric,WICOMICO,52
2020/08,Electric,WORCESTER,47
2020/08,Electric,CA,2
2020/08,Electric,TX,1
2020/08,Plug-in Hybrid,ALLEGANY,34
2020/08,Plug-in Hybrid,ANNE ARUNDEL,1138
2020/08,Plug-in Hybrid,BALTIMORE,1242
2020/08,Plug-in Hybrid,BALTIMORE CITY,605
2020/08,Plug-in Hybrid,CALVERT,160
2020/08,Plug-in Hybrid,CAROLINE,19
2020/08,Plug-in Hybrid,CARROLL,235
2020/08,Plug-in Hybrid,CECIL,75
2020/08,Plug-in Hybrid,CHARLES,174
2020/08,Plug-in Hybrid,DORCHESTER,25
2020/08,Plug-in Hybrid,FREDERICK,704
2020/08,Plug-in Hybrid,GARRETT,5
2020/08,Plug-in Hybrid,HARFORD,293
2020/08,Plug-in Hybrid,HOWARD,1155
2020/08,Plug-in Hybrid,KENT,31
2020/08,Plug-in Hybrid,MONTGOMERY,3608
2020/08,Plug-in Hybrid,PRINCE GEORGES,951
2020/08,Plug-in Hybrid,QUEEN ANNES,85
2020/08,Plug-in Hybrid,SAINT MARYS,175
2020/08,Plug-in Hybrid,SOMERSET,8
2020/08,Plug-in Hybrid,TALBOT,87
2020/08,Plug-in Hybrid,UNKNOWN,18
2020/08,Plug-in Hybrid,WASHINGTON,162
2020/08,Plug-in Hybrid,WICOMICO,89
2020/08,Plug-in Hybrid,WORCESTER,63
2020/08,Plug-in Hybrid,CO,2
2020/08,Plug-in Hybrid,DE,1
2020/08,Plug-in Hybrid,GA,1
2020/08,Plug-in Hybrid,IL,2
2020/08,Plug-in Hybrid,KY,1
2020/08,Plug-in Hybrid,NC,1
2020/08,Plug-in Hybrid,OH,2
2020/08,Plug-in Hybrid,TN,1
2020/08,Plug-in Hybrid,WA,1
2020/09,Electric,ALLEGANY,35
2020/09,Electric,ANNE ARUNDEL,1658
2020/09,Electric,BALTIMORE,1587
2020/09,Electric,BALTIMORE CITY,804
2020/09,Electric,CALVERT,148
2020/09,Electric,CAROLINE,7
2020/09,Electric,CARROLL,306
2020/09,Electric,CECIL,88
2020/09,Electric,CHARLES,202
2020/09,Electric,DORCHESTER,24
2020/09,Electric,FREDERICK,755
2020/09,Electric,GARRETT,17
2020/09,Electric,HARFORD,341
2020/09,Electric,HOWARD,2014
2020/09,Electric,KENT,13
2020/09,Electric,MONTGOMERY,6040
2020/09,Electric,PRINCE GEORGES,1264
2020/09,Electric,QUEEN ANNES,87
2020/09,Electric,SAINT MARYS,154
2020/09,Electric,SOMERSET,3
2020/09,Electric,TALBOT,73
2020/09,Electric,UNKNOWN,27
2020/09,Electric,WASHINGTON,138
2020/09,Electric,WICOMICO,55
2020/09,Electric,WORCESTER,46
2020/09,Electric,CA,2
2020/09,Electric,TX,1
2020/09,Plug-in Hybrid,ALLEGANY,37
2020/09,Plug-in Hybrid,ANNE ARUNDEL,1152
2020/09,Plug-in Hybrid,BALTIMORE,1259
2020/09,Plug-in Hybrid,BALTIMORE CITY,624
2020/09,Plug-in Hybrid,CALVERT,165
2020/09,Plug-in Hybrid,CAROLINE,19
2020/09,Plug-in Hybrid,CARROLL,240
2020/09,Plug-in Hybrid,CECIL,76
2020/09,Plug-in Hybrid,CHARLES,176
2020/09,Plug-in Hybrid,DORCHESTER,26
2020/09,Plug-in Hybrid,FREDERICK,703
2020/09,Plug-in Hybrid,GARRETT,6
2020/09,Plug-in Hybrid,HARFORD,298
2020/09,Plug-in Hybrid,HOWARD,1158
2020/09,Plug-in Hybrid,KENT,35
2020/09,Plug-in Hybrid,MONTGOMERY,3664
2020/09,Plug-in Hybrid,PRINCE GEORGES,955
2020/09,Plug-in Hybrid,QUEEN ANNES,87
2020/09,Plug-in Hybrid,SAINT MARYS,174
2020/09,Plug-in Hybrid,SOMERSET,8
2020/09,Plug-in Hybrid,TALBOT,88
2020/09,Plug-in Hybrid,UNKNOWN,19
2020/09,Plug-in Hybrid,WASHINGTON,164
2020/09,Plug-in Hybrid,WICOMICO,91
2020/09,Plug-in Hybrid,WORCESTER,64
2020/09,Plug-in Hybrid,CO,2
2020/09,Plug-in Hybrid,DE,1
2020/09,Plug-in Hybrid,IL,1
2020/09,Plug-in Hybrid,KY,1
2020/09,Plug-in Hybrid,OH,2
2020/09,Plug-in Hybrid,TN,1
2020/09,Plug-in Hybrid,WA,1
2020/10,Electric,ALLEGANY,36
2020/10,Electric,ANNE ARUNDEL,1729
2020/10,Electric,BALTIMORE,1674
2020/10,Electric,BALTIMORE CITY,833
2020/10,Electric,CALVERT,157
2020/10,Electric,CAROLINE,7
2020/10,Electric,CARROLL,326
2020/10,Electric,CECIL,92
2020/10,Electric,CHARLES,211
2020/10,Electric,DORCHESTER,23
2020/10,Electric,FREDERICK,785
2020/10,Electric,GARRETT,17
2020/10,Electric,HARFORD,360
2020/10,Electric,HOWARD,2085
2020/10,Electric,KENT,13
2020/10,Electric,MONTGOMERY,6259
2020/10,Electric,PRINCE GEORGES,1323
2020/10,Electric,QUEEN ANNES,91
2020/10,Electric,SAINT MARYS,159
2020/10,Electric,SOMERSET,3
2020/10,Electric,TALBOT,80
2020/10,Electric,UNKNOWN,30
2020/10,Electric,WASHINGTON,145
2020/10,Electric,WICOMICO,59
2020/10,Electric,WORCESTER,49
2020/10,Electric,CA,2
2020/10,Electric,TX,1
2020/10,Plug-in Hybrid,ALLEGANY,39
2020/10,Plug-in Hybrid,ANNE ARUNDEL,1161
2020/10,Plug-in Hybrid,BALTIMORE,1276
2020/10,Plug-in Hybrid,BALTIMORE CITY,638
2020/10,Plug-in Hybrid,CALVERT,166
2020/10,Plug-in Hybrid,CAROLINE,22
2020/10,Plug-in Hybrid,CARROLL,243
2020/10,Plug-in Hybrid,CECIL,79
2020/10,Plug-in Hybrid,CHARLES,180
2020/10,Plug-in Hybrid,DORCHESTER,24
2020/10,Plug-in Hybrid,FREDERICK,710
2020/10,Plug-in Hybrid,GARRETT,6
2020/10,Plug-in Hybrid,HARFORD,302
2020/10,Plug-in Hybrid,HOWARD,1177
2020/10,Plug-in Hybrid,KENT,36
2020/10,Plug-in Hybrid,MONTGOMERY,3702
2020/10,Plug-in Hybrid,PRINCE GEORGES,981
2020/10,Plug-in Hybrid,QUEEN ANNES,91
2020/10,Plug-in Hybrid,SAINT MARYS,174
2020/10,Plug-in Hybrid,SOMERSET,8
2020/10,Plug-in Hybrid,TALBOT,87
2020/10,Plug-in Hybrid,UNKNOWN,18
2020/10,Plug-in Hybrid,WASHINGTON,164
2020/10,Plug-in Hybrid,WICOMICO,92
2020/10,Plug-in Hybrid,WORCESTER,68
2020/10,Plug-in Hybrid,CO,2
2020/10,Plug-in Hybrid,DE,1
2020/10,Plug-in Hybrid,IL,1
2020/10,Plug-in Hybrid,KY,1
2020/10,Plug-in Hybrid,OH,2
2020/10,Plug-in Hybrid,TN,1
2020/10,Plug-in Hybrid,WA,1
2020/11,Electric,ALLEGANY,37
2020/11,Electric,ANNE ARUNDEL,1783
2020/11,Electric,BALTIMORE,1715
2020/11,Electric,BALTIMORE CITY,823
2020/11,Electric,CALVERT,162
2020/11,Electric,CAROLINE,7
2020/11,Electric,CARROLL,336
2020/11,Electric,CECIL,95
2020/11,Electric,CHARLES,223
2020/11,Electric,DORCHESTER,24
2020/11,Electric,FREDERICK,811
2020/11,Electric,GARRETT,16
2020/11,Electric,HARFORD,369
2020/11,Electric,HOWARD,2132
2020/11,Electric,KENT,14
2020/11,Electric,MONTGOMERY,6364
2020/11,Electric,PRINCE GEORGES,1359
2020/11,Electric,QUEEN ANNES,94
2020/11,Electric,SAINT MARYS,161
2020/11,Electric,SOMERSET,3
2020/11,Electric,TALBOT,85
2020/11,Electric,UNKNOWN,34
2020/11,Electric,WASHINGTON,147
2020/11,Electric,WICOMICO,59
2020/11,Electric,WORCESTER,51
2020/11,Electric,CA,2
2020/11,Plug-in Hybrid,ALLEGANY,39
2020/11,Plug-in Hybrid,ANNE ARUNDEL,1194
2020/11,Plug-in Hybrid,BALTIMORE,1288
2020/11,Plug-in Hybrid,BALTIMORE CITY,647
2020/11,Plug-in Hybrid,CALVERT,170
2020/11,Plug-in Hybrid,CAROLINE,22
2020/11,Plug-in Hybrid,CARROLL,252
2020/11,Plug-in Hybrid,CECIL,85
2020/11,Plug-in Hybrid,CHARLES,182
2020/11,Plug-in Hybrid,DORCHESTER,23
2020/11,Plug-in Hybrid,FREDERICK,733
2020/11,Plug-in Hybrid,GARRETT,6
2020/11,Plug-in Hybrid,HARFORD,308
2020/11,Plug-in Hybrid,HOWARD,1189
2020/11,Plug-in Hybrid,KENT,35
2020/11,Plug-in Hybrid,MONTGOMERY,3768
2020/11,Plug-in Hybrid,PRINCE GEORGES,1006
2020/11,Plug-in Hybrid,QUEEN ANNES,91
2020/11,Plug-in Hybrid,SAINT MARYS,180
2020/11,Plug-in Hybrid,SOMERSET,8
2020/11,Plug-in Hybrid,TALBOT,87
2020/11,Plug-in Hybrid,UNKNOWN,18
2020/11,Plug-in Hybrid,WASHINGTON,166
2020/11,Plug-in Hybrid,WICOMICO,93
2020/11,Plug-in Hybrid,WORCESTER,70
2020/11,Plug-in Hybrid,CO,2
2020/11,Plug-in Hybrid,DE,1
2020/11,Plug-in Hybrid,IL,1
2020/11,Plug-in Hybrid,KY,1
2020/11,Plug-in Hybrid,OH,2
2020/11,Plug-in Hybrid,TN,1
2020/11,Plug-in Hybrid,WA,1
2020/12,Electric,UNKNOWN,35
2020/12,Electric,ALLEGANY,37
2020/12,Electric,ANNE ARUNDEL,1823
2020/12,Electric,BALTIMORE,1779
2020/12,Electric,BALTIMORE CITY,855
2020/12,Electric,CA,3
2020/12,Electric,CALVERT,162
2020/12,Electric,CAROLINE,7
2020/12,Electric,CARROLL,359
2020/12,Electric,CECIL,99
2020/12,Electric,CHARLES,228
2020/12,Electric,DE,1
2020/12,Electric,DORCHESTER,24
2020/12,Electric,FREDERICK,840
2020/12,Electric,GARRETT,15
2020/12,Electric,HARFORD,378
2020/12,Electric,HOWARD,2188
2020/12,Electric,KENT,16
2020/12,Electric,MONTGOMERY,6527
2020/12,Electric,PRINCE GEORGES,1399
2020/12,Electric,QUEEN ANNES,96
2020/12,Electric,SAINT MARYS,166
2020/12,Electric,SOMERSET,3
2020/12,Electric,TALBOT,88
2020/12,Electric,WASHINGTON,156
2020/12,Electric,WICOMICO,59
2020/12,Electric,WORCESTER,54
2020/12,Plug-In Hybrid,UNKNOWN,19
2020/12,Plug-In Hybrid,ALLEGANY,40
2020/12,Plug-In Hybrid,ANNE ARUNDEL,1215
2020/12,Plug-In Hybrid,BALTIMORE,1313
2020/12,Plug-In Hybrid,BALTIMORE CITY,675
2020/12,Plug-In Hybrid,CALVERT,173
2020/12,Plug-In Hybrid,CAROLINE,24
2020/12,Plug-In Hybrid,CARROLL,255
2020/12,Plug-In Hybrid,CECIL,83
2020/12,Plug-In Hybrid,CHARLES,185
2020/12,Plug-In Hybrid,CO,1
2020/12,Plug-In Hybrid,DORCHESTER,25
2020/12,Plug-In Hybrid,FREDERICK,738
2020/12,Plug-In Hybrid,GARRETT,6
2020/12,Plug-In Hybrid,HARFORD,313
2020/12,Plug-In Hybrid,HOWARD,1212
2020/12,Plug-In Hybrid,IL,2
2020/12,Plug-In Hybrid,KENT,39
2020/12,Plug-In Hybrid,KY,1
2020/12,Plug-In Hybrid,MONTGOMERY,3813
2020/12,Plug-In Hybrid,OH,2
2020/12,Plug-In Hybrid,PRINCE GEORGES,1031
2020/12,Plug-In Hybrid,QUEEN ANNES,90
2020/12,Plug-In Hybrid,SAINT MARYS,186
2020/12,Plug-In Hybrid,SOMERSET,8
2020/12,Plug-In Hybrid,TALBOT,86
2020/12,Plug-In Hybrid,TN,1
2020/12,Plug-In Hybrid,WA,1
2020/12,Plug-In Hybrid,WASHINGTON,167
2020/12,Plug-In Hybrid,WICOMICO,94
2020/12,Plug-In Hybrid,WORCESTER,73
2021/01,Electric,UNKNOWN,34
2021/01,Electric,ALLEGANY,39
2021/01,Electric,ANNE ARUNDEL,1880
2021/01,Electric,BALTIMORE,1822
2021/01,Electric,BALTIMORE CITY,871
2021/01,Electric,CA,3
2021/01,Electric,CALVERT,164
2021/01,Electric,CAROLINE,11
2021/01,Electric,CARROLL,371
2021/01,Electric,CECIL,104
2021/01,Electric,CHARLES,247
2021/01,Electric,DE,1
2021/01,Electric,DORCHESTER,24
2021/01,Electric,FREDERICK,864
2021/01,Electric,GARRETT,15
2021/01,Electric,HARFORD,389
2021/01,Electric,HOWARD,2237
2021/01,Electric,KENT,18
2021/01,Electric,MONTGOMERY,6694
2021/01,Electric,PRINCE GEORGES,1451
2021/01,Electric,QUEEN ANNES,97
2021/01,Electric,SAINT MARYS,169
2021/01,Electric,SOMERSET,3
2021/01,Electric,TALBOT,95
2021/01,Electric,WASHINGTON,158
2021/01,Electric,WICOMICO,59
2021/01,Electric,WORCESTER,55
2021/01,Plug-In Hybrid,UNKNOWN,19
2021/01,Plug-In Hybrid,ALLEGANY,39
2021/01,Plug-In Hybrid,ANNE ARUNDEL,1231
2021/01,Plug-In Hybrid,BALTIMORE,1339
2021/01,Plug-In Hybrid,BALTIMORE CITY,704
2021/01,Plug-In Hybrid,CALVERT,176
2021/01,Plug-In Hybrid,CAROLINE,25
2021/01,Plug-In Hybrid,CARROLL,262
2021/01,Plug-In Hybrid,CECIL,85
2021/01,Plug-In Hybrid,CHARLES,188
2021/01,Plug-In Hybrid,CO,1
2021/01,Plug-In Hybrid,DORCHESTER,24
2021/01,Plug-In Hybrid,FREDERICK,751
2021/01,Plug-In Hybrid,GARRETT,6
2021/01,Plug-In Hybrid,HARFORD,313
2021/01,Plug-In Hybrid,HOWARD,1229
2021/01,Plug-In Hybrid,IL,1
2021/01,Plug-In Hybrid,KENT,40
2021/01,Plug-In Hybrid,KY,1
2021/01,Plug-In Hybrid,MONTGOMERY,3861
2021/01,Plug-In Hybrid,OH,2
2021/01,Plug-In Hybrid,PRINCE GEORGES,1039
2021/01,Plug-In Hybrid,QUEEN ANNES,89
2021/01,Plug-In Hybrid,SAINT MARYS,193
2021/01,Plug-In Hybrid,SOMERSET,9
2021/01,Plug-In Hybrid,TALBOT,92
2021/01,Plug-In Hybrid,TN,1
2021/01,Plug-In Hybrid,WA,1
2021/01,Plug-In Hybrid,WASHINGTON,172
2021/01,Plug-In Hybrid,WICOMICO,98
2021/01,Plug-In Hybrid,WORCESTER,73
2021/02,Electric,UNKNOWN,35
2021/02,Electric,ALLEGANY,39
2021/02,Electric,ANNE ARUNDEL,1912
2021/02,Electric,BALTIMORE,1860
2021/02,Electric,BALTIMORE CITY,888
2021/02,Electric,CA,3
2021/02,Electric,CALVERT,166
2021/02,Electric,CAROLINE,12
2021/02,Electric,CARROLL,378
2021/02,Electric,CECIL,109
2021/02,Electric,CHARLES,256
2021/02,Electric,DE,1
2021/02,Electric,DORCHESTER,25
2021/02,Electric,FREDERICK,879
2021/02,Electric,GARRETT,18
2021/02,Electric,HARFORD,392
2021/02,Electric,HOWARD,2258
2021/02,Electric,KENT,19
2021/02,Electric,MONTGOMERY,6761
2021/02,Electric,PRINCE GEORGES,1488
2021/02,Electric,QUEEN ANNES,100
2021/02,Electric,SAINT MARYS,176
2021/02,Electric,SOMERSET,3
2021/02,Electric,TALBOT,96
2021/02,Electric,VA,1
2021/02,Electric,WASHINGTON,161
2021/02,Electric,WICOMICO,61
2021/02,Electric,WORCESTER,58
2021/02,Plug-In Hybrid,UNKNOWN,18
2021/02,Plug-In Hybrid,ALLEGANY,38
2021/02,Plug-In Hybrid,ANNE ARUNDEL,1250
2021/02,Plug-In Hybrid,BALTIMORE,1352
2021/02,Plug-In Hybrid,BALTIMORE CITY,714
2021/02,Plug-In Hybrid,CALVERT,182
2021/02,Plug-In Hybrid,CAROLINE,26
2021/02,Plug-In Hybrid,CARROLL,268
2021/02,Plug-In Hybrid,CECIL,86
2021/02,Plug-In Hybrid,CHARLES,191
2021/02,Plug-In Hybrid,CO,1
2021/02,Plug-In Hybrid,DORCHESTER,26
2021/02,Plug-In Hybrid,FREDERICK,757
2021/02,Plug-In Hybrid,GARRETT,7
2021/02,Plug-In Hybrid,HARFORD,314
2021/02,Plug-In Hybrid,HOWARD,1231
2021/02,Plug-In Hybrid,IL,1
2021/02,Plug-In Hybrid,KENT,40
2021/02,Plug-In Hybrid,KY,1
2021/02,Plug-In Hybrid,MONTGOMERY,3880
2021/02,Plug-In Hybrid,OH,2
2021/02,Plug-In Hybrid,PRINCE GEORGES,1057
2021/02,Plug-In Hybrid,QUEEN ANNES,90
2021/02,Plug-In Hybrid,SAINT MARYS,195
2021/02,Plug-In Hybrid,SOMERSET,10
2021/02,Plug-In Hybrid,TALBOT,94
2021/02,Plug-In Hybrid,TN,1
2021/02,Plug-In Hybrid,WA,1
2021/02,Plug-In Hybrid,WASHINGTON,180
2021/02,Plug-In Hybrid,WICOMICO,101
2021/02,Plug-In Hybrid,WORCESTER,76
