Program,Program Link,Station Name,MEA Contribution,Address,City,State,ZipCode,Location,Access
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Antwerpen Nissan - Clarksville,,12451 Auto Dr,Clarksville,MD,21029,"12451 Auto Dr
Clarksville, Maryland 21029
(39.211686580000446, -76.94361843699966)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Capitol Fisker,437.00,6500 Capitol Drive,Greenbelt,MD,20770,"6500 Capitol Drive
Greenbelt, Maryland 20770
(38.996667741000465, -76.89354973199966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Hamilton Nissan,,1929 Dual Hwy,Hagerstown,MD,21740,"1929 Dual Hwy
Hagerstown, Maryland 21740
(39.606219231000466, -77.68646095399964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1300 E North Ave,Baltimore,MD,21213,"1300 E North Ave
Baltimore, Maryland 21213
(39.311918480000486, -76.60006133399963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Frederick Motor Company,,1 Waverley Dr,Frederick,MD,21702,"1 Waverley Dr
Frederick, Maryland 21702
(39.419768115000466, -77.46114120899966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,King Farm Village - Regency,,800 Pleasant Dr,Rockville,MD,20850,"800 Pleasant Dr
Rockville, Maryland 20850
(39.11373596600049, -77.17123692299964)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Sheehy Auto Store,557.00,2950 Crain Highway,Waldorf,MD,20601,"2950 Crain Highway
Waldorf, Maryland 20601
(38.63048704500045, -76.90618222999967)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Johns Hopkins University,31990.75,3101 Wyman Park Dr,Baltimore,MD,21218,"3101 Wyman Park Dr
Baltimore, Maryland 21218
(39.325962166000465, -76.62261135999967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Upper Marlboro,MD,20772,"Upper Marlboro, Maryland 20772
(38.79320349000045, -76.78653736499967)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Clinton,MD,20735,"Clinton, Maryland 20735
(38.75722249900048, -76.89952923299967)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Maryland Transit Administration - Odenton Marc,,1392-1398 Odenton Rd,Odenton,MD,21113,"1392-1398 Odenton Rd
Odenton, Maryland 21113
(39.07829206500048, -76.68503751399965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Win Kelly Dealership,,12421 Auto Dr,Clarksville,MD,21029,"12421 Auto Dr
Clarksville, Maryland 21029
(39.21058276700046, -76.94179073399965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,7953 Crain Hwy S,Glen Burnie,MD,21061,"7953 Crain Hwy S
Glen Burnie, Maryland 21061
(39.13318752400045, -76.63661102899965)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Saint John's Maple Lawn,12796.30,8160 Maple Lawn Blvd,Fulton,MD,20759,"8160 Maple Lawn Blvd
Fulton, Maryland 20759
(39.14914507500049, -76.90509772599967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Pikesville,MD,21208,"Pikesville, Maryland 21208
(39.37661172300045, -76.72958737799968)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - College Park - Severn Building,,5245 Greenbelt Rd,College Park,MD,20740,"5245 Greenbelt Rd
College Park, Maryland 20740
(38.99807783400047, -76.92303048299965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6300 Crain Hwy,La Plata,MD,21646,"6300 Crain Hwy
La Plata, Maryland 21646
(38.53867551500048, -76.98388583399964)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,190.50,,Catonsville,MD,21228,"Catonsville, Maryland 21228
(39.27721103300047, -76.73836863399964)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,9616 Harford Rd,Baltimore,MD,21234,"9616 Harford Rd
Baltimore, Maryland 21234
(39.39582916000046, -76.52262700599965)",Public
Biodiesel Refueling Stations,http://energy.maryland.gov/Transportation/biodieselRefueling.html,Cropper Oil & Gas,,10535 Ocean Gateway,Berlin,MD,21811,"10535 Ocean Gateway
Berlin, Maryland 21811
(38.34138779100044, -75.19864880799963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,182.02,,Bowie,MD,20715,"Bowie, Maryland 20715
(38.98124229300049, -76.74261804899965)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Charles County Public Library - PD Brown Memorial Branch,,50 Village St,Waldorf,MD,20602,"50 Village St
Waldorf, Maryland 20602
(38.601754799000446, -76.90024756899965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore County Revenue Authority - Chesapeake Ave Garage,,115 Towsontown Blvd W,Towson,MD,21204,"115 Towsontown Blvd W
Towson, Maryland 21204
(39.40203000500048, -76.61713863499966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,199.99,,Ellicott City,MD,21043,"Ellicott City, Maryland 21043
(39.259561620000454, -76.80313963099968)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1260 Liberty Rd,Eldersburg,MD,21784,"1260 Liberty Rd
Eldersburg, Maryland 21784
(39.404317824000486, -76.95140340199964)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Sunoco,,1469 Rockville Pike,Rockville,MD,20852,"1469 Rockville Pike
Rockville, Maryland 20852
(39.06585976300045, -77.12746469899963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,12400 Auto Dr,Clarksville,MD,21029,"12400 Auto Dr
Clarksville, Maryland 21029
(39.20932610900047, -76.94069633999965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Alaire,,1011 Higgins Pl,Rockville,MD,20852,"1011 Higgins Pl
Rockville, Maryland 20852
(39.04877236800047, -77.11997743299963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1927 Emmorton Rd,Bel Air,MD,21015,"1927 Emmorton Rd
Bel Air, Maryland 21015
(39.503913147000446, -76.32736882099965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland,,5 N Paca St,Baltimore,MD,21201,"5 N Paca St
Baltimore, Maryland 21201
(39.28940167000047, -76.62224532599964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,9110 Liberty Rd,Randallstown,MD,21133,"9110 Liberty Rd
Randallstown, Maryland 21133
(39.369545927000445, -76.80011758499967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Old Farm Court Charger,,115 Old Farm Ct,Glen Burnie,MD,21060,"115 Old Farm Ct
Glen Burnie, Maryland 21060
(39.16035669500047, -76.59869926299967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - Penn Garage,,120 Penn St,Baltimore,MD,21201,"120 Penn St
Baltimore, Maryland 21201
(39.287170337000475, -76.62594811699967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,132.64,,Gaithersburg,MD,20877,"Gaithersburg, Maryland 20877
(39.140912555000455, -77.19054901099963)",
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Chevron,,2010 Frederick Rd,Germantown,MD,20876,"2010 Frederick Rd
Germantown, Maryland 20876
(39.16877350900046, -77.23407725199968)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,259.80,,Chevy Chase,MD,20815,"Chevy Chase, Maryland 20815
(38.977953123000475, -77.08250610499965)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Baltimore Street Garage,12796.30,15 Guilford Ave,Baltimore,MD,21202,"15 Guilford Ave
Baltimore, Maryland 21202
(39.290044804000445, -76.61097566899963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Veterans Affairs Maryland Health Care - Perry Point,,Circle Dr,Perry Point,MD,21902,"Circle Dr
Perry Point, Maryland 21902
(39.55410085300048, -76.07219673599963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,5740 Ritchie Hwy,Brooklyn,MD,21225,"5740 Ritchie Hwy
Brooklyn, Maryland 21225
(39.216530124000485, -76.61448595799965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6323 Baltimore National Pike,Catonsville,MD,21228,"6323 Baltimore National Pike
Catonsville, Maryland 21228
(39.283864190000486, -76.75565525099967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,2016 Rock Spring Rd,Forest Hill,MD,21050,"2016 Rock Spring Rd
Forest Hill, Maryland 21050
(39.57351902000045, -76.38543329299966)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Nexus Energy Homes,12796.30,1000 Island Professional Park,Chester,MD,21666,"1000 Island Professional Park
Chester, Maryland 21666
(38.97720645300046, -76.29103395699963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,228.00,,Crofton,MD,21114,"Crofton, Maryland 21114
(39.01093171500048, -76.68531611699967)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,SemaConnect United States Headquarters,,4961 Telsa Dr,Bowie,MD,20715,"4961 Telsa Dr
Bowie, Maryland 20715
(38.956984590000445, -76.70776960599966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Prime Street Grille,,4680 Crain Hwy,White Plains,MD,20695,"4680 Crain Hwy
White Plains, Maryland 20695
(38.58363688600048, -76.94974285899963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,25 High St,Waldorf,MD,20602,"25 High St
Waldorf, Maryland 20602
(38.60257454800046, -76.90293531799966)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Autoflex Fleet Services,12796.30,1206 Ridgely St,Baltimore,MD,21230,"1206 Ridgely St
Baltimore, Maryland 21230
(39.27752379900045, -76.62654269899963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore County Revenue Authority - Baltimore Ave,,110 W Susquehanna Ave,Towson,MD,21204,"110 W Susquehanna Ave
Towson, Maryland 21204
(39.39871538300048, -76.60642807299968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Maryland Transit Authority - Mount Washington,,5701 Smith Ave,Baltimore,MD,21209,"5701 Smith Ave
Baltimore, Maryland 21209
(39.36789841400048, -76.65243000299967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,179.80,,Hagerstown,MD,21740,"Hagerstown, Maryland 21740
(39.6340837140005, -77.73109810999966)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,400.00,,Hagerstown,MD,21742,"Hagerstown, Maryland 21742
(39.65797255400048, -77.68676601899966)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,MDOT Headquarters,12796.30,7201 Corporate Center Dr,Hanover,MD,21076,"7201 Corporate Center Dr
Hanover, Maryland 21076
(39.18209440600049, -76.69732864399964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Fitzgerald Parking Garage,,80 W Oliver St,Baltimore,MD,21217,"80 W Oliver St
Baltimore, Maryland 21217
(39.30654836700046, -76.61877263699967)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Shell,,811 Bestgate Rd,Annapolis,MD,21401,"811 Bestgate Rd
Annapolis, Maryland 21401
(38.99409401900044, -76.53701166099967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,169.80,,Rockville,MD,20852,"Rockville, Maryland 20852
(39.04877236800047, -77.11997743299963)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore County Revenue Authority - Delaware Ave Parking Lot,,5 E Pennsylvania Ave,Towson,MD,21286,"5 E Pennsylvania Ave
Towson, Maryland 21286
(39.40032281000049, -76.60130377999963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Baltimore Washington Medical Center,,300 Hospital Dr,Glen Burnie,MD,21061,"300 Hospital Dr
Glen Burnie, Maryland 21061
(39.13893664800048, -76.62251181699963)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Linganore Winecellars,12796.30,13601 Glissans Mills Road,Mt. Airy,MD,21771,"13601 Glissans Mills Road
Mt. Airy, Maryland 21771
(39.42786325200046, -77.19080674699967)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,President Street Associates,400.00,14401 Sweitzer Lane,Laurel,MD,20707,"14401 Sweitzer Lane
Laurel, Maryland 20707
(39.08829011100045, -76.89862729599963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,City of Towson - Towsontown Garage,,Towsontown Blvd,Towson,MD,21204,"Towsontown Blvd
Towson, Maryland 21204
(39.39557052700047, -76.62719794099968)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Mariner Arena Garage,14929.56,200 W Lombard St,Baltimore,MD,21201,"200 W Lombard St
Baltimore, Maryland 21201
(39.28767580600049, -76.61778610099964)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Community College of Baltimore County (CCBC),12796.30,800 S Rolling,Catonsville,MD,21228,"800 S Rolling
Catonsville, Maryland 21228
(39.256481935000465, -76.73002548599965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Safeway,,444 WMC Dr,Westminister,MD,21158,"444 WMC Dr
Westminister, Maryland 21158
(39.58621493200047, -77.01134128699965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Municipal Garage,,200 N Holliday St,Baltimore,MD,21202,"200 N Holliday St
Baltimore, Maryland 21202
(39.29167810500047, -76.61029581699967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Nissan of Bowie,,2500 N Crain Hwy,Bowie,MD,20716,"2500 N Crain Hwy
Bowie, Maryland 20716
(38.924288695000484, -76.71736123199963)",Public
E-85 Refueling Stations,http://www.afdc.energy.gov/locator/stations/,Town Center Chevron,,12301 Middlebrook Rd,Germantown,MD,20874,"12301 Middlebrook Rd
Germantown, Maryland 20874
(39.17541764700047, -77.25404491699965)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,199.80,,Silver Spring,MD,20903,"Silver Spring, Maryland 20903
(39.010853505000455, -76.98247973299965)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Maryland Institute College of Art - Bunting Building,,1401 W Mt Royal Ave,Baltimore,MD,21217,"1401 W Mt Royal Ave
Baltimore, Maryland 21217
(39.3089432430005, -76.62225124799966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Hawkins Electric,,8001 Sheriff Rd,Landover,MD,20785,"8001 Sheriff Rd
Landover, Maryland 20785
(38.91351720500046, -76.86781525799967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Goshen Plaza Regency,,9140 Rothbury Dr,Gaithersburg,MD,20879,"9140 Rothbury Dr
Gaithersburg, Maryland 20879
(39.16688265300047, -77.18454855899967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Joint Apprenticeship and Training Committee - IBEW Local Union 26,,4371 Parliament Pl,Lanham-Seabrook,MD,20706,"4371 Parliament Pl
Lanham-Seabrook, Maryland 20706
(38.950170191000495, -76.83658792399967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Bel Air Nissan,,1506 Bel Air Rd,Bel Air,MD,21014,"1506 Bel Air Rd
Bel Air, Maryland 21014
(39.50443879800048, -76.38197900299963)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Redwood Street Garage,14929.56,11 S Eutaw Pl,Baltimore,MD,21201,"11 S Eutaw Pl
Baltimore, Maryland 21201
(39.28836175900045, -76.62083469299967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MOM's Organic Market,,3301 Plaza Way,Waldorf,MD,20603,"3301 Plaza Way
Waldorf, Maryland 20603
(38.62170409100048, -76.91806529799965)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Baltimore Office Complex,,300 W. Preston Street,Baltimore,MD,21201,"300 W. Preston Street
Baltimore, Maryland 21201
(39.30268301500047, -76.62145618199963)",Private
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Penn Station Garage,14929.56,1511 N Charles St,Baltimore,MD,21201,"1511 N Charles St
Baltimore, Maryland 21201
(39.30733820400047, -76.61628526999965)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,MDOT MTA at BWI MARC Station,31990.75,Amtrak Way,Linthicum Heights,MD,21090,"Amtrak Way
Linthicum Heights, Maryland 21090
(39.2093941870005, -76.65996735499965)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,W Express,,100 North Frederick Ave,Gaithersburg,MD,20877,"100 North Frederick Ave
Gaithersburg, Maryland 20877
(39.142679383000484, -77.20022297799966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,College Park,MD,20740,"College Park, Maryland 20740
(38.9967235470005, -76.92870594499965)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Herb Gordon Nissan,,3131 Automobile Blvd,Silver Spring,MD,20904,"3131 Automobile Blvd
Silver Spring, Maryland 20904
(39.07772899000048, -76.94798380399965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Chase Tower,,445 Willard Ave,Chevy Chase,MD,20815,"445 Willard Ave
Chevy Chase, Maryland 20815
(38.960323427000446, -77.09683613799967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Under Armour,,1040 Hull St,Baltimore,MD,21230,"1040 Hull St
Baltimore, Maryland 21230
(39.27479365100049, -76.59041922799963)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,North Potomac Sunoco,,10010 Darnestown Road,Rockville,MD,20878,"10010 Darnestown Road
Rockville, Maryland 20878
(39.096823782000456, -77.20604435099966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,189.81,,Laurel,MD,20723,"Laurel, Maryland 20723
(39.12729096300046, -76.85436724599964)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,159.80,,Ellicott City,MD,21042,"Ellicott City, Maryland 21042
(39.27378282300049, -76.86071964399963)",
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,W Express,,10003 Fields Road,Gaithersburg,MD,20878,"10003 Fields Road
Gaithersburg, Maryland 20878
(39.116263940000465, -77.20526218499964)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,"Four Irvington Centre Associates, LLC",400.00,805 King Farm Blvd,Rockville,MD,20850,"805 King Farm Blvd
Rockville, Maryland 20850
(39.111491827000464, -77.17899242699963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6700 Ritchie Hwy,Glen Burnie,MD,21061,"6700 Ritchie Hwy
Glen Burnie, Maryland 21061
(39.19335316100046, -76.61360624199966)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Four Irvington Centre Associates,400.00,805 King Farm Blvd,Rockville,MD,20850,"805 King Farm Blvd
Rockville, Maryland 20850
(39.111491827000464, -77.17899242699963)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Saint John's Headquarters,12796.30,2560 Lord Baltimore Dr,Baltimore,MD,21244,"2560 Lord Baltimore Dr
Baltimore, Maryland 21244
(39.325725143000454, -76.75097998499967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,LifeBridge Health - Cylburn Garage,,2401 W Belvedere Ave,Baltimore,MD,21215,"2401 W Belvedere Ave
Baltimore, Maryland 21215
(39.35468514100046, -76.66225112699965)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Annapolis Barrack J,,610 Taylor Ave,Annapolis,MD,21401,"610 Taylor Ave
Annapolis, Maryland 21401
(38.98745144300045, -76.50235634699965)",Private
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Caroline Street Garage,14929.56,805 S Caroline St,Baltimore,MD,21201,"805 S Caroline St
Baltimore, Maryland 21201
(39.281483892000495, -76.59645480699965)",Public
