Supercharger,Street Address,City,State,Zipcode,Country,GPS,Statues,Open Date
"Burlington, WA",9384 Old Highway 99,Burlington,WA,98233,USA,"48.509772, -122.338625",OPEN,7/13/13
"Ritzville, WA",105 Galbreath Way,Ritzville,WA,99169,USA,"47.116294, -118.368328",OPEN,5/18/14
"Lynnwood, WA",2902 164th St SW,Lynnwood,WA,98087,USA,"47.846712, -122.271391",OPEN,1/20/18
"Kennewick, WA",2811 W 10th Ave,Kennewick,WA,99336,USA,"46.198085, -119.162734",OPEN,9/4/15
"Monroe, WA",15067 N Kelsey St,Monroe,WA,98272,USA,"47.86274, -121.97672",OPEN,4/25/17
"Moses Lake, WA",2709 W Broadway Ave,Moses Lake,WA,98837,USA,"47.103505, -119.310203",OPEN,1/3/20
"Arlington, WA","Angel of the Winds Casino,3438 Stoluckquamish Ln",Arlington,WA,98223,USA,"48.21237, -122.183551",OPEN,6/28/17
"Centralia, WA",1200 Lum Rd,Centralia,WA,98531,USA,"46.729732, -122.977454",OPEN,7/17/13
"Cle Elum, WA","811 WA-970 #6, Cle Elum, WA",Cle Elum,WA,98922,USA,"47.188802, -120.903135",OPEN,12/8/18
"Kelso, WA",205 Three Rivers Dr,Kelso,WA,98626,USA,"46.143403, -122.899225",OPEN,5/29/20
"Blaine, WA",8135 Birch Bay Square St,Blaine,WA,98230,USA,"48.937851, -122.667679",OPEN,10/11/19
"Bellevue (SC), WA",14408 NE 20th St,Bellevue,WA,98007,USA,"47.629447, -122.148203",CLOSED_PERM,
"Seattle - NE Northgate Way, WA",401 NE Northgate Way,Seattle,WA,98125,USA,"47.705956, -122.327133",OPEN,3/30/21
"Leavenworth, WA",1329 US-2,Leavenworth,WA,98826,USA,"47.598608, -120.655636",OPEN,7/28/18
"Seattle - Union St, WA",601 Union St,Seattle,WA,98101,USA,"47.609686, -122.332152",OPEN,7/9/19
"North Bend, WA",46600 SE North Bend Way,North Bend,WA,98045,USA,"47.468107, -121.716454",OPEN,12/12/19
"Spokane, WA",10506 W Aero Rd,Spokane,WA,99224,USA,"47.590359, -117.56168",OPEN,12/21/19
"Vancouver - NE Vancouver Mall Dr, WA",8700 NE Vancouver Mall Dr,Vancouver,WA,98662,USA,"45.659872, -122.582467",OPEN,3/24/20
"Tumwater, WA",2430 93rd Ave SW,Tumwater,WA,98512,USA,"46.952944, -122.935111",OPEN,3/21/20
"Auburn, WA",1101 Outlet Collection Way SW,Auburn,WA,98001,USA,"47.297976, -122.248274",OPEN,10/22/19
"Forks, WA",100 Fern Hill Rd,Forks,WA,98331,USA,"47.942522, -124.384748",OPEN,3/30/20
"Lacey, WA",655 Sleater Kinney Rd SE,Lacey,WA,98503,USA,"47.0427557461906, -122.836407423019",OPEN,10/30/20
"Bothell, WA",19128 112th Ave NE,Bothell,WA,98011,USA,"47.767606, -122.191712",OPEN,7/9/20
"Seattle - NW Ballard Way, WA",1416 NW Ballard Way,Seattle,WA,98107,USA,"47.662639, -122.374975",OPEN,12/11/20
"Yakima, WA",121 N Fair Ave,Yakima,WA,98901,USA,"46.608814, -120.491244",OPEN,3/30/21
"Entiat, WA",14581 US Hwy 97a,Entiat,WA,98822,USA,"47.684662, -120.206959",OPEN,12/23/20
"Seattle - 1201 2nd Avenue, WA",1201 2nd Ave,Seattle,WA,98101,USA,"47.6066581, -122.3371498",OPEN,12/7/20
"Ellensburg, WA",1620 Canyon Rd,Ellensburg,WA,98926,USA,"46.976918, -120.54162",OPEN,12/23/13
"Vancouver, WA",800 NE Tenney Rd,Vancouver,WA,98685,USA,"45.721663, -122.663461",OPEN,2/13/18
"Aberdeen, WA",416 Wishkah St,Aberdeen,WA,98520,USA,"46.976679, -123.813485",OPEN,12/22/16
"Sequim, WA",1441 E Washington St,Sequim,WA,98382,USA,"48.071232, -123.074527",OPEN,7/5/17
"Issaquah, WA",6100 E Lake Sammamish Pkwy SE,Issaquah,WA,98029,USA,"47.548026, -122.040026",OPEN,10/20/18
"Federal Way, WA",1414 S 324th St,Federal Way,WA,98003,USA,"47.314917, -122.315972",OPEN,3/23/21
"Bellevue, WA",10333 NE 1st St,Bellevue,WA,98004,USA,"47.610717, -122.202226",OPEN,3/30/21