NAME,Estimate HOUSEHOLDS BY TYPE Total households,Estimate EDUCATIONAL ATTAINMENT Population 25 years and over,Estimate INCOME AND BENEFITS (INFLATION-ADJUSTED DOLLARS) Median household income (dollars),Estimate COMMUTING TO WORK Workers 16 years and over,Percent PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL All families,Estimate VEHICLES AVAILABLE Occupied housing units,Percent VEHICLES AVAILABLE Occupied housing units,metropolitan statistical area/micropolitan statistical area,YEAR
"Bellingham, WA Metro Area",80288,130974,49938,92067,8.6,80288,80288,13380,2010
"Bremerton-Silverdale, WA Metro Area",99150,168564,56303,113573,8.3,99150,99150,14740,2010
"Kennewick-Pasco-Richland, WA Metro Area",86626,155678,56407,111438,10.3,86626,86626,28420,2010
"Longview, WA Metro Area",40475,69851,41054,37110,16.8,40475,40475,31020,2010
"Mount Vernon-Anacortes, WA Metro Area",44856,80066,55458,49043,7.7,44856,44856,34580,2010
"Olympia, WA Metro Area",99869,170827,61011,112304,6.1,99869,99869,36500,2010
"Seattle-Tacoma-Bellevue, WA Metro Area",1353765,2342330,63088,1662441,7.9,1353765,1353765,42660,2010
"Spokane, WA Metro Area",187672,308404,47039,210509,9.9,187672,187672,44060,2010
"Wenatchee-East Wenatchee, WA Metro Area",40402,73658,47839,47575,9.5,40402,40402,48300,2010
"Yakima, WA Metro Area",79875,146028,40648,97608,19.8,79875,79875,49420,2010
"Spokane, WA Metro Area",187360,311349,49078,204942,9.7,187360,187360,44060,2011
"Seattle-Tacoma-Bellevue, WA Metro Area",1364274,2386993,64085,1696668,7.8,1364274,1364274,42660,2011
"Olympia, WA Metro Area",101970,175009,60061,119196,9.7,101970,101970,36500,2011
"Mount Vernon-Anacortes, WA Metro Area",45801,80289,52519,49951,11.1,45801,45801,34580,2011
"Longview, WA Metro Area",40659,70456,42031,37112,15.7,40659,40659,31020,2011
"Yakima, WA Metro Area",80071,147547,42173,95608,17.2,80071,80071,49420,2011
"Bremerton-Silverdale, WA Metro Area",100688,171443,60314,117010,7.3,100688,100688,14740,2011
"Bellingham, WA Metro Area",79958,132596,51500,95271,9.1,79958,79958,13380,2011
"Wenatchee-East Wenatchee, WA Metro Area",41349,74301,50075,50709,10.5,41349,41349,48300,2011
"Kennewick-Pasco-Richland, WA Metro Area",88930,161598,59256,108787,13.3,88930,88930,28420,2011
"Seattle-Tacoma-Bellevue, WA Metro Area",1375184,2432130,65677,1760969,7.8,1375184,1375184,42660,2012
"Yakima, WA Metro Area",78472,147642,43942,97712,17.6,78472,78472,49420,2012
"Spokane, WA Metro Area",189004,314381,47624,207918,11.4,189004,189004,44060,2012
"Olympia, WA Metro Area",102335,176412,58239,118458,7.6,102335,102335,36500,2012
"Wenatchee-East Wenatchee, WA Metro Area",41750,74321,47251,48342,10.0,41750,41750,48300,2012
"Longview, WA Metro Area",38834,70165,47692,37865,12.5,38834,38834,31020,2012
"Kennewick-Pasco-Richland, WA Metro Area",90215,165030,57189,117521,11.7,90215,90215,28420,2012
"Bremerton-Silverdale, WA Metro Area",97027,173947,59073,114764,7.3,97027,97027,14740,2012
"Mount Vernon-Anacortes, WA Metro Area",44671,80146,53400,50103,10.0,44671,44671,34580,2012
"Bellingham, WA Metro Area",79029,133716,51458,96288,11.8,79029,79029,13380,2012
"Wenatchee, WA Metro Area",41368,75527,51177,51376,12.2,41368,41368,48300,2013
"Walla Walla, WA Metro Area",23390,41692,43870,25387,14.0,23390,23390,47460,2013
"Spokane-Spokane Valley, WA Metro Area",208513,359741,47485,225732,10.2,208513,208513,44060,2013
"Seattle-Tacoma-Bellevue, WA Metro Area",1392337,2479730,67479,1779217,8.4,1392337,1392337,42660,2013
"Olympia-Tumwater, WA Metro Area",99815,179667,59785,116394,8.9,99815,99815,36500,2013
"Yakima, WA Metro Area",79742,147923,41917,98470,15.8,79742,79742,49420,2013
"Longview, WA Metro Area",38483,70373,48417,40204,8.6,38483,38483,31020,2013
"Kennewick-Richland, WA Metro Area",92768,166708,58542,115923,12.7,92768,92768,28420,2013
"Bremerton-Silverdale, WA Metro Area",97854,173179,62672,121756,7.8,97854,97854,14740,2013
"Bellingham, WA Metro Area",78330,132094,50186,96267,11.7,78330,78330,13380,2013
"Mount Vernon-Anacortes, WA Metro Area",45234,81818,52448,51362,10.7,45234,45234,34580,2013
"Yakima, WA Metro Area",79700,147834,44648,101584,15.9,79700,79700,49420,2014
"Wenatchee, WA Metro Area",41500,75021,50986,49498,11.0,41500,41500,48300,2014
"Walla Walla, WA Metro Area",23296,41493,50737,28662,9.7,23296,23296,47460,2014
"Spokane-Spokane Valley, WA Metro Area",209867,364045,49320,232414,11.8,209867,209867,44060,2014
"Seattle-Tacoma-Bellevue, WA Metro Area",1406259,2530058,71273,1842053,7.2,1406259,1406259,42660,2014
"Olympia-Tumwater, WA Metro Area",103319,184805,61609,125848,8.6,103319,103319,36500,2014
"Longview, WA Metro Area",40036,70054,42223,37553,16.5,40036,40036,31020,2014
"Kennewick-Richland, WA Metro Area",93357,169137,58020,120008,11.7,93357,93357,28420,2014
"Bremerton-Silverdale, WA Metro Area",95249,173850,61794,118462,8.4,95249,95249,14740,2014
"Bellingham, WA Metro Area",81973,134303,53665,97735,10.2,81973,81973,13380,2014
"Mount Vernon-Anacortes, WA Metro Area",45447,82590,50558,50651,9.3,45447,45447,34580,2014
"Kennewick-Richland, WA Metro Area",94423,172291,61361,121936,12.3,4070,4.3,28420,2015
"Olympia-Tumwater, WA Metro Area",105159,186672,62137,122023,8.9,5665,5.4,36500,2015
"Mount Vernon-Anacortes, WA Metro Area",48056,84596,57122,54164,11.2,2455,5.1,34580,2015
"Longview, WA Metro Area",40187,71960,49949,43294,11.8,3140,7.8,31020,2015
"Yakima, WA Metro Area",81709,149845,47223,102603,14.7,6345,7.8,49420,2015
"Bremerton-Silverdale, WA Metro Area",98490,178483,66090,119991,4.6,5103,5.2,14740,2015
"Walla Walla, WA Metro Area",24201,42580,47283,27127,10.3,1511,6.2,47460,2015
"Spokane-Spokane Valley, WA Metro Area",215652,371769,47548,228618,10.8,14325,6.6,44060,2015
"Seattle-Tacoma-Bellevue, WA Metro Area",1437222,2587548,75331,1883130,6.6,72960,5.1,42660,2015
"Wenatchee, WA Metro Area",41304,78300,56319,51376,7.6,1910,4.6,48300,2015
"Bellingham, WA Metro Area",80023,138988,55016,100765,6.4,4237,5.3,13380,2015
"Seattle-Tacoma-Bellevue, WA Metro Area",1464941,2645731,78612,1941796,6.3,66922,4.6,42660,2016
"Olympia-Tumwater, WA Metro Area",105863,194426,65783,122944,7.1,4576,4.3,36500,2016
"Mount Vernon-Anacortes, WA Metro Area",46423,85910,60983,53613,5.2,2270,4.9,34580,2016
"Longview, WA Metro Area",40170,73161,50637,40713,12.2,2520,6.3,31020,2016
"Kennewick-Richland, WA Metro Area",96337,175825,61021,122234,7.1,3636,3.8,28420,2016
"Bremerton-Silverdale, WA Metro Area",101995,183529,69171,122232,7.7,5168,5.1,14740,2016
"Bellingham, WA Metro Area",84011,142486,56411,103057,8.3,3312,3.9,13380,2016
"Yakima, WA Metro Area",81084,150873,48965,104235,13.7,6110,7.5,49420,2016
"Wenatchee, WA Metro Area",43186,78514,52231,52330,6.3,2025,4.7,48300,2016
"Walla Walla, WA Metro Area",23748,43107,54655,28549,6.3,2068,8.7,47460,2016
"Spokane-Spokane Valley, WA Metro Area",217598,378472,52955,247626,7.6,12934,5.9,44060,2016
"Wenatchee, WA Metro Area",42468,79271,58990,53213,13.7,2465,5.8,48300,2017
"Yakima, WA Metro Area",82107,151817,47402,99397,14.8,5141,6.3,49420,2017
"Spokane-Spokane Valley, WA Metro Area",224113,385592,53321,256959,8.6,12879,5.7,44060,2017
"Seattle-Tacoma-Bellevue, WA Metro Area",1490337,2707906,82133,1997545,5.6,61682,4.1,42660,2017
"Olympia-Tumwater, WA Metro Area",112075,196131,71765,130646,7.7,4647,4.1,36500,2017
"Walla Walla, WA Metro Area",24256,43286,54157,27799,6.6,1097,4.5,47460,2017
"Longview, WA Metro Area",41611,74724,49456,42974,11.3,2701,6.5,31020,2017
"Kennewick-Richland, WA Metro Area",98742,182259,63617,129776,9.5,3882,3.9,28420,2017
"Bremerton-Silverdale, WA Metro Area",104902,184874,73026,127450,5.0,4984,4.8,14740,2017
"Bellingham, WA Metro Area",88636,147244,61186,108317,5.3,3733,4.2,13380,2017
"Mount Vernon-Anacortes, WA Metro Area",49262,87956,66066,56661,7.1,2554,5.2,34580,2017
"Seattle-Tacoma-Bellevue, WA Metro Area",1526210,2769714,87910,2059642,5.4,134675,8.8,42660,2018
"Bremerton-Silverdale, WA Metro Area",105411,188460,76945,133445,6.1,10945,10.4,14740,2018
"Yakima, WA Metro Area",83320,152659,51555,103039,12.7,9556,11.5,49420,2018
"Walla Walla, WA Metro Area",23893,43208,59704,27587,5.9,2480,10.4,47460,2018
"Mount Vernon-Anacortes, WA Metro Area",48474,91594,73206,57486,5.1,5324,11.0,34580,2018
"Olympia-Tumwater, WA Metro Area",110713,202731,72703,132979,4.6,8179,7.4,36500,2018
"Spokane-Spokane Valley, WA Metro Area",229018,394787,58546,258817,8.0,23352,10.2,44060,2018
"Longview, WA Metro Area",43279,75444,59225,46722,8.5,5442,12.6,31020,2018
"Kennewick-Richland, WA Metro Area",98988,185956,64908,126309,7.9,6541,6.6,28420,2018
"Bellingham, WA Metro Area",87080,149288,62268,104115,8.7,7180,8.2,13380,2018
"Wenatchee, WA Metro Area",47855,82146,61714,58425,6.2,4621,9.7,48300,2018
"Wenatchee, WA Metro Area",44478,5359,60532,55806,8.1,4045,9.1,48300,2019
"Bellingham, WA Metro Area",88794,21163,69372,106418,7.0,6848,7.7,13380,2019
"Bremerton-Silverdale-Port Orchard, WA Metro Area",107525,13107,79624,133545,5.1,9263,8.6,14740,2019
"Mount Vernon-Anacortes, WA Metro Area",49043,5454,67175,56976,7.1,4180,8.5,34580,2019
"Olympia-Lacey-Tumwater, WA Metro Area",112909,15818,78512,136647,6.4,9045,8.0,36500,2019
"Seattle-Tacoma-Bellevue, WA Metro Area",1541245,249353,94027,2100080,4.7,125250,8.1,42660,2019
"Spokane-Spokane Valley, WA Metro Area",229880,37288,59646,252691,7.2,21066,9.2,44060,2019
"Walla Walla, WA Metro Area",23167,5002,61285,26615,7.0,2568,11.1,47460,2019
"Kennewick-Richland, WA Metro Area",101840,13124,68283,131646,11.3,8925,8.8,28420,2019
"Longview, WA Metro Area",42790,4861,55497,43761,7.6,4664,10.9,31020,2019
"Yakima, WA Metro Area",83992,10472,56233,107391,13.7,7991,9.5,49420,2019
